"YearBuilt","YearRemodeled","Condition","FinSqFt","Bedroom","FullBath","HalfBath","LotSize","TotalValue","City"
2001,0,"Good",2205,4,2,1,0.19,337900,"CHARLOTTESVILLE"
1999,0,"Good",2424,4,2,1,0.352,359800,"CHARLOTTESVILLE"
2002,0,"Good",3519,6,5,0,0.413,518800,"CHARLOTTESVILLE"
1999,0,"Good",2538,4,2,1,0.333,382000,"CHARLOTTESVILLE"
2002,0,"Good",1574,3,2,0,0.313,312500,"CHARLOTTESVILLE"
2003,0,"Good",1810,3,2,1,0.147,271800,"CHARLOTTESVILLE"
2002,0,"Good",1246,2,2,0,0.191,266400,"CHARLOTTESVILLE"
2002,0,"Good",1298,2,2,0,0.142,298300,"CHARLOTTESVILLE"
2004,0,"Good",1488,3,2,1,0.076,241700,"CHARLOTTESVILLE"
2002,0,"Good",1246,2,2,0,0.201,271300,"CHARLOTTESVILLE"
2000,0,"Good",3816,6,4,0,0.325,548200,"CHARLOTTESVILLE"
2000,0,"Good",2754,4,3,1,0.32,463900,"CHARLOTTESVILLE"
2002,0,"Good",2416,4,2,1,0.311,416800,"CHARLOTTESVILLE"
2001,0,"Good",2271,4,2,1,0.261,410500,"CHARLOTTESVILLE"
2001,0,"Good",2271,4,3,1,0.282,386700,"CHARLOTTESVILLE"
2001,0,"Good",2346,5,3,1,0.256,405200,"CHARLOTTESVILLE"
2000,0,"Good",2651,4,2,1,0.434,435400,"CHARLOTTESVILLE"
2002,0,"Good",2740,4,2,1,0.416,442000,"CHARLOTTESVILLE"
2002,0,"Good",2026,3,2,1,0.406,426700,"CHARLOTTESVILLE"
2003,0,"Good",2468,3,3,1,0.374,462300,"CHARLOTTESVILLE"
2002,0,"Good",2878,5,3,1,0.917,538200,"CHARLOTTESVILLE"
2013,0,"Excellent",3090,4,4,1,0.464,695400,"CROZET"
2015,0,"Average",3010,4,3,1,2.06,337900,"CHARLOTTESVILLE"
2004,0,"Good",2735,4,2,1,4.11,559300,"CHARLOTTESVILLE"
1983,0,"Good",3548,4,4,1,8,1152500,"CHARLOTTESVILLE"
2003,0,"Good",3019,4,3,1,4.93,632000,"CHARLOTTESVILLE"
1985,0,"Good",1604,3,2,0,3.356,363900,"CHARLOTTESVILLE"
1986,0,"Average",1664,3,3,1,2.109,342500,"CHARLOTTESVILLE"
2007,0,"Excellent",4624,4,5,0,5.399,829000,"CHARLOTTESVILLE"
1984,0,"Fair",3335,5,3,0,7.46,498700,"CHARLOTTESVILLE"
1993,0,"Good",1631,3,2,1,0.262,303200,"CHARLOTTESVILLE"
1991,0,"Good",1118,3,2,0,0.174,211900,"CHARLOTTESVILLE"
1994,0,"Good",1983,3,2,0,0.352,360300,"CHARLOTTESVILLE"
1992,0,"Good",1667,3,2,0,0.242,246300,"CHARLOTTESVILLE"
1999,0,"Good",2174,3,2,0,0.442,349300,"CHARLOTTESVILLE"
1994,0,"Good",1576,3,2,0,0.481,327400,"CHARLOTTESVILLE"
1994,0,"Good",2147,3,2,1,0.179,285500,"CHARLOTTESVILLE"
1996,0,"Good",1241,2,2,0,0.19,215700,"CHARLOTTESVILLE"
1994,0,"Good",1436,2,2,0,0.206,225000,"CHARLOTTESVILLE"
1999,0,"Good",1429,3,2,0,0.232,232300,"CHARLOTTESVILLE"
1999,0,"Excellent",1865,3,2,0,0.194,264200,"CHARLOTTESVILLE"
2008,0,"Excellent",1850,3,2,1,0.17,301700,"CHARLOTTESVILLE"
2002,0,"Good",2276,4,2,1,0.224,310100,"CHARLOTTESVILLE"
2004,0,"Good",1664,3,2,0,0.238,293500,"CHARLOTTESVILLE"
1977,0,"Fair",1243,3,2,0,0.2334,223600,"CHARLOTTESVILLE"
1981,0,"Average",1928,4,2,1,0.143,287700,"CHARLOTTESVILLE"
1984,0,"Average",1260,3,1,2,0.122,260200,"CHARLOTTESVILLE"
1987,0,"Average",1906,3,2,2,0.1798,318600,"CHARLOTTESVILLE"
2006,0,"Good",2128,4,3,1,0.3473,355800,"CHARLOTTESVILLE"
1998,0,"Average",1560,4,2,1,0.0975,197600,"CHARLOTTESVILLE"
1997,0,"Average",1564,3,2,1,0.0913,206600,"CHARLOTTESVILLE"
2015,0,"Average",2180,4,3,1,0.192,512400,"CHARLOTTESVILLE"
1975,0,"Average",1445,3,2,1,0,184800,"CHARLOTTESVILLE"
1975,0,"Average",1185,2,2,0,0,183500,"CHARLOTTESVILLE"
1975,0,"Average",1481,3,2,1,0,181800,"CHARLOTTESVILLE"
1974,0,"Good",1118,2,2,0,0,190000,"CHARLOTTESVILLE"
1975,0,"Good",1385,3,2,1,0,185000,"CHARLOTTESVILLE"
1975,0,"Average",1138,3,3,0,0,190800,"CHARLOTTESVILLE"
1993,0,"Average",1040,3,3,0,0,185800,"CHARLOTTESVILLE"
1990,0,"Average",1200,3,3,1,0,177400,"CHARLOTTESVILLE"
1989,0,"Average",1293,3,2,0,0,200900,"CHARLOTTESVILLE"
1990,0,"Average",1120,3,2,0,0,170800,"CHARLOTTESVILLE"
1977,0,"Average",1120,2,3,0,0,184800,"CHARLOTTESVILLE"
2016,0,"Average",3320,5,4,1,0.206,624300,"CHARLOTTESVILLE"
1981,0,"Average",1246,3,1,1,0,168800,"CHARLOTTESVILLE"
1981,0,"Average",1262,3,1,1,0,169900,"CHARLOTTESVILLE"
1981,0,"Average",1230,3,1,1,0,164700,"CHARLOTTESVILLE"
1981,0,"Average",1230,3,1,1,0,173800,"CHARLOTTESVILLE"
1983,0,"Average",1323,3,2,1,0,177400,"CHARLOTTESVILLE"
1983,0,"Average",1323,3,1,2,0,176200,"CHARLOTTESVILLE"
1983,0,"Average",1323,3,1,2,0,177200,"CHARLOTTESVILLE"
1984,0,"Average",1320,3,1,2,0,179400,"CHARLOTTESVILLE"
1984,0,"Fair",1323,3,1,2,0,195800,"CHARLOTTESVILLE"
1984,0,"Average",1323,3,1,2,0,179600,"CHARLOTTESVILLE"
1985,0,"Good",1380,3,2,1,0,204400,"CHARLOTTESVILLE"
1988,0,"Good",1152,2,2,1,0,189300,"CHARLOTTESVILLE"
1987,0,"Good",1152,3,3,1,0,235000,"CHARLOTTESVILLE"
2006,0,"Good",2639,4,3,1,0.376,375200,"CROZET"
2005,0,"Good",2437,4,2,1,0.274,401400,"CROZET"
2003,0,"Good",2289,3,2,1,0.296,391600,"CROZET"
2001,0,"Good",2482,4,2,1,0.269,408500,"CROZET"
2003,0,"Good",2138,4,2,1,0.259,382600,"CROZET"
2003,0,"Good",2939,4,3,1,0.276,424600,"CROZET"
2005,0,"Good",2510,4,2,1,0.377,416300,"CROZET"
2005,0,"Good",2480,4,2,1,0.284,403900,"CROZET"
2014,0,"Average",3220,4,4,0,0.244,515000,"CROZET"
2012,0,"Excellent",2496,4,2,1,0.226,535000,"CROZET"
2008,0,"Excellent",4601,4,4,1,0.519,1135000,"CROZET"
2012,0,"Excellent",2782,5,3,1,0.058,416800,"CROZET"
2015,0,"Good",2841,3,3,1,0.098,546000,"CROZET"
2015,0,"Average",2352,3,3,0,0.1,455400,"CROZET"
2015,0,"Average",2340,3,2,1,0.113,475200,"CROZET"
2016,0,"Average",2638,4,4,0,0.131,598000,"CROZET"
2011,0,"Good",1592,3,2,1,0.041,307600,"CROZET"
2010,0,"Good",1672,4,3,1,0.043,324700,"CROZET"
2008,0,"Good",2488,3,2,1,0.197,512900,"CROZET"
2011,0,"Good",3881,5,4,1,0.194,681600,"CROZET"
2006,0,"Good",1796,3,2,1,0.118,308900,"CROZET"
2006,0,"Good",1796,3,3,0,0.068,311600,"CROZET"
2006,0,"Good",1921,3,2,1,0.094,319400,"CROZET"
2015,0,"Average",3086,5,4,1,0.466,741100,"CROZET"
2013,0,"Excellent",2796,4,3,1,0.461,676300,"CROZET"
2010,0,"Excellent",3233,3,3,1,0.516,641400,"CROZET"
2011,0,"Good",1672,3,3,1,0.039,359900,"CROZET"
1940,0,"Average",1785,3,2,0,2.121,272800,"CROZET"
2012,0,"Good",1792,3,2,0,2.691,298700,"CROZET"
2012,0,"Excellent",1920,3,2,2,1.384,250200,"CROZET"
1962,0,"Average",1288,2,1,0,0.453,206900,"CROZET"
2011,0,"Excellent",3610,4,4,1,1.97,781600,"CROZET"
2009,0,"Good",1332,2,2,0,3.52,359400,"CROZET"
1900,0,"Good",2768,3,2,0,2.17,826700,"CROZET"
1900,0,"Fair",1456,3,1,0,0.337,104700,"CROZET"
1890,0,"Average",2207,3,2,1,2.007,281300,"CROZET"
1975,0,"Average",960,3,1,1,0,190300,"CROZET"
1973,0,"Average",960,3,1,0,0,162100,"CROZET"
1974,0,"Good",960,2,1,0,0,169200,"CROZET"
2007,0,"Excellent",2080,3,2,0,0.705,363100,"CROZET"
1993,0,"Average",1472,3,2,0,0.22,182900,"CROZET"
2005,0,"Good",1744,3,2,1,0.055,260400,"CROZET"
2001,0,"Good",2746,4,3,1,0.117,407100,"CROZET"
2001,0,"Good",2661,4,2,1,0.185,391900,"CROZET"
2001,0,"Good",2026,4,2,1,0.276,377600,"CROZET"
2002,0,"Good",2289,4,3,1,0.266,408400,"CROZET"
2005,0,"Good",2450,4,2,1,0.257,419300,"CROZET"
2002,0,"Good",1974,4,2,1,0.257,380300,"CROZET"
2004,0,"Good",2098,4,2,1,0.257,392200,"CROZET"
2002,0,"Good",2577,6,4,1,0.257,522400,"CROZET"
2005,0,"Good",2197,4,3,0,0.279,385700,"CROZET"
2005,0,"Good",2911,4,3,1,0.267,490100,"CROZET"
2005,0,"Good",2318,4,3,0,0.284,398300,"CROZET"
2005,0,"Good",2504,1,2,1,0.311,409000,"CROZET"
2012,0,"Excellent",2466,4,3,1,0.224,566700,"CROZET"
1989,0,"Good",1824,4,2,1,0.299,304600,"CHARLOTTESVILLE"
1991,0,"Good",2180,4,2,1,0.283,367700,"CHARLOTTESVILLE"
1993,0,"Good",2140,5,3,1,0.27,425800,"CHARLOTTESVILLE"
1992,0,"Good",1517,3,2,1,0.215,292400,"CHARLOTTESVILLE"
1992,0,"Good",1864,4,2,1,0.291,328900,"CHARLOTTESVILLE"
1992,0,"Good",2204,4,2,1,0.338,370300,"CHARLOTTESVILLE"
1991,0,"Average",1212,3,2,0,0.295,287100,"CHARLOTTESVILLE"
1992,0,"Good",1225,3,2,0,0.256,278300,"CHARLOTTESVILLE"
2002,0,"Good",1759,3,2,0,0.27,372800,"CHARLOTTESVILLE"
2004,0,"Good",2808,6,3,1,0.314,467100,"CHARLOTTESVILLE"
2003,0,"Good",1560,3,2,1,0.056,243900,"CHARLOTTESVILLE"
2003,0,"Good",1941,4,3,1,0.114,294200,"CHARLOTTESVILLE"
2003,0,"Good",1560,3,2,1,0.062,243700,"CHARLOTTESVILLE"
2003,0,"Good",1560,3,2,1,0.062,243900,"CHARLOTTESVILLE"
2003,0,"Good",1560,3,2,1,0.06,243900,"CHARLOTTESVILLE"
2006,0,"Good",4211,5,4,1,0.318,573000,"CHARLOTTESVILLE"
2005,0,"Good",2974,4,2,1,0.285,451900,"CHARLOTTESVILLE"
1998,0,"Good",1738,3,2,1,0.144,292600,"CHARLOTTESVILLE"
1993,0,"Average",1469,3,2,1,0,242600,"CHARLOTTESVILLE"
1994,0,"Average",1681,2,2,0,0.125,263400,"CHARLOTTESVILLE"
1993,0,"Average",1571,3,2,1,0,215600,"CHARLOTTESVILLE"
1994,0,"Average",1537,3,2,1,0,208500,"CHARLOTTESVILLE"
1994,0,"Average",1551,3,2,1,0,207700,"CHARLOTTESVILLE"
2000,0,"Good",1220,2,2,1,0.038,170200,"CHARLOTTESVILLE"
1995,0,"Average",1744,3,2,1,0.104,251900,"CHARLOTTESVILLE"
1998,0,"Average",1595,2,2,0,0.15,266300,"CHARLOTTESVILLE"
1998,0,"Average",1622,3,2,0,0.197,277300,"CHARLOTTESVILLE"
1995,0,"Average",2291,4,2,1,0.181,299100,"CHARLOTTESVILLE"
1995,0,"Average",1634,3,2,1,0.187,268300,"CHARLOTTESVILLE"
1995,0,"Good",2011,3,2,1,0.463,457500,"CHARLOTTESVILLE"
1996,0,"Good",1996,4,2,1,0.382,377100,"CHARLOTTESVILLE"
1998,0,"Good",2215,4,2,1,0.336,381200,"CHARLOTTESVILLE"
1999,0,"Good",2109,4,2,1,0.247,395200,"CHARLOTTESVILLE"
1998,0,"Good",2518,6,3,1,0.319,443200,"CHARLOTTESVILLE"
1999,0,"Good",2250,3,2,1,0.205,386600,"CHARLOTTESVILLE"
1998,0,"Good",2246,4,3,1,0.2,421800,"CHARLOTTESVILLE"
2001,0,"Good",2128,4,2,1,0.257,377500,"CROZET"
2002,0,"Good",2319,3,2,1,0.284,392300,"CROZET"
2006,0,"Good",2504,3,2,1,0.256,441300,"CROZET"
2004,0,"Good",2988,5,2,1,0.318,475600,"CROZET"
2013,0,"Average",2820,3,3,0,0.117,572600,"CROZET"
2014,0,"Average",2434,3,2,1,0.1008,702300,"CROZET"
2014,0,"Average",3118,5,4,1,0.165,693700,"CROZET"
2015,0,"Average",2672,2,3,0,0.128,566400,"CROZET"
2010,0,"Good",1592,4,3,1,0.053,354900,"CROZET"
2007,0,"Good",1896,3,2,1,0.071,314900,"CROZET"
2006,0,"Good",2298,3,2,1,0.144,393700,"CROZET"
2006,0,"Good",1824,3,2,1,0.063,318800,"CROZET"
2010,0,"Good",2070,3,2,1,0.13,397000,"CROZET"
2009,0,"Excellent",2050,3,3,0,0.198,483200,"CROZET"
2008,0,"Good",3589,5,4,1,0.212,659000,"CROZET"
2010,0,"Excellent",2320,3,2,1,0.129,433100,"CROZET"
2008,0,"Good",3592,4,2,1,0.463,699100,"CROZET"
2010,0,"Excellent",2770,4,3,2,0.192,594900,"CROZET"
2006,0,"Average",1760,3,2,1,0.054,295100,"CROZET"
2006,0,"Good",1760,3,2,1,0.05,297500,"CROZET"
2015,0,"Excellent",1884,3,3,1,0.0506,410500,"CROZET"
2009,0,"Excellent",3127,4,3,1,0.459,649000,"CROZET"
2014,0,"Average",2862,3,3,2,0.459,652800,"CROZET"
2014,0,"Average",2397,4,3,1,0.084,401800,"CROZET"
2011,0,"Good",1692,3,3,1,0.04,365800,"CROZET"
2011,0,"Average",2392,3,2,1,0.094,354200,"CROZET"
1976,0,"Average",1685,3,2,1,1,385600,"CHARLOTTESVILLE"
1961,0,"Average",3032,5,3,1,1.61,496400,"CHARLOTTESVILLE"
1973,0,"Good",1571,5,3,0,1.31,484600,"CHARLOTTESVILLE"
1963,2001,"Average",3079,4,3,1,1.952,631300,"CHARLOTTESVILLE"
1988,0,"Average",2123,4,2,1,1.113,408800,"CHARLOTTESVILLE"
1983,0,"Average",2185,3,2,1,1.12,468000,"CHARLOTTESVILLE"
1980,0,"Average",2423,3,2,1,2.151,915900,"CHARLOTTESVILLE"
1978,2000,"Good",4292,3,3,1,1.996,1141500,"CHARLOTTESVILLE"
1970,0,"Average",5642,4,4,2,6.678,2634200,"CHARLOTTESVILLE"
1963,2010,"Good",4525,5,5,1,1.381,1439900,"CHARLOTTESVILLE"
1968,2010,"Good",6773,4,5,2,1.004,1806900,"CHARLOTTESVILLE"
1986,0,"Average",1066,2,2,1,0,535100,"CHARLOTTESVILLE"
1990,0,"Average",2694,3,3,0,0.164,703100,"CHARLOTTESVILLE"
1982,0,"Average",2813,3,3,0,0,825700,"CHARLOTTESVILLE"
1982,2011,"Good",2450,2,3,0,0,800000,"CHARLOTTESVILLE"
1997,0,"Good",3505,4,3,1,5.47,902700,"CHARLOTTESVILLE"
1990,0,"Average",1984,3,2,1,2,549600,"CHARLOTTESVILLE"
1947,0,"Good",4246,3,3,0,16.06,1021400,"CHARLOTTESVILLE"
1850,1992,"Average",1798,3,2,0,2.29,268100,"CHARLOTTESVILLE"
1970,0,"Average",940,2,1,1,0,68100,"CHARLOTTESVILLE"
1970,0,"Average",940,2,1,1,0,68100,"CHARLOTTESVILLE"
1970,0,"Good",940,2,1,1,0,70900,"CHARLOTTESVILLE"
1970,0,"Average",940,2,1,1,0,68100,"CHARLOTTESVILLE"
1970,0,"Average",459,1,1,0,0,48200,"CHARLOTTESVILLE"
1970,0,"Average",940,2,1,1,0,68100,"CHARLOTTESVILLE"
1970,0,"Average",940,2,1,1,0,68100,"CHARLOTTESVILLE"
1970,0,"Average",1062,2,1,1,0,72200,"CHARLOTTESVILLE"
1970,0,"Average",1062,2,1,1,0,72200,"CHARLOTTESVILLE"
1970,0,"Average",1176,3,2,1,0,77900,"CHARLOTTESVILLE"
1970,0,"Average",1176,3,2,1,0,77900,"CHARLOTTESVILLE"
1986,0,"Average",1262,3,2,0,272.64,585900,"SCOTTSVILLE"
1984,0,"Fair",864,2,1,0,16.55,179400,"SCOTTSVILLE"
1950,1969,"Average",1054,3,1,0,1.5,103900,"SCOTTSVILLE"
1980,0,"Average",960,3,1,0,2,135900,"SCOTTSVILLE"
2010,0,"Average",1862,3,2,0,1,196200,"SCOTTSVILLE"
2011,0,"Good",1966,4,2,1,25,323600,"SCOTTSVILLE"
1980,0,"Average",1248,3,3,0,2.658,185500,"SCOTTSVILLE"
1980,0,"Average",972,3,1,0,2,117300,"SCOTTSVILLE"
2013,0,"Excellent",1436,3,2,1,5.083,250800,"SCOTTSVILLE"
2007,0,"Good",2480,3,2,0,6.67,352600,"SCOTTSVILLE"
2012,0,"Average",2382,4,3,1,0.071,397300,"CROZET"
2011,0,"Excellent",1724,4,3,1,0.14,372300,"CROZET"
2015,0,"Average",2368,4,2,1,0.1212,455600,"CROZET"
2015,0,"Excellent",1644,3,2,1,0.057,289200,"CROZET"
2015,0,"Excellent",2244,5,3,1,0.48,540000,"CROZET"
1933,0,"Average",1840,4,2,0,0.493,228000,"CROZET"
2001,0,"Good",2326,4,3,1,4.75,502700,"CROZET"
2001,0,"Good",2828,6,3,1,2.5,570300,"CROZET"
1983,0,"Good",1664,2,2,0,2,165900,"CHARLOTTESVILLE"
1987,0,"Good",1820,3,2,0,14.76,829700,"CHARLOTTESVILLE"
2003,0,"Good",2909,3,2,1,3.99,545500,"CHARLOTTESVILLE"
1925,1972,"Average",2634,5,2,1,7.455,490300,"CHARLOTTESVILLE"
1984,0,"Good",1836,3,2,0,2.025,279200,"CHARLOTTESVILLE"
1989,0,"Average",1476,3,2,0,3.704,294900,"CHARLOTTESVILLE"
1967,0,"Good",1288,3,2,0,1.5,262700,"CROZET"
1997,0,"Good",2708,3,3,1,3.692,603700,"CROZET"
1920,0,"Good",2985,3,1,1,3.209,482700,"CHARLOTTESVILLE"
1900,0,"Average",1264,3,2,0,2.263,237800,"CROZET"
1983,0,"Average",1344,2,2,0,0.573,204900,"CROZET"
1905,1953,"Good",3120,4,2,1,1.581,495300,"CROZET"
1927,1996,"Average",1548,3,1,0,0.822,250600,"CROZET"
1951,0,"Average",1176,3,1,0,0.17,170800,"CROZET"
1955,0,"Average",931,3,1,0,0.5,150800,"CROZET"
1932,0,"Average",758,2,1,0,0.19,116300,"CROZET"
1994,0,"Good",1664,3,2,1,0.501,297600,"CROZET"
1951,0,"Average",1279,3,1,0,0,160800,"CROZET"
1960,0,"Average",970,3,1,0,0,163100,"CROZET"
1956,1984,"Average",1220,3,1,0,0,151100,"CROZET"
1960,0,"Average",1305,3,1,0,0,151700,"CROZET"
1956,0,"Average",1128,2,1,0,0,202300,"CROZET"
2004,0,"Good",2120,3,2,1,0.179,305800,"CROZET"
1963,2005,"Good",2731,3,3,0,0.913,658700,"CROZET"
2008,0,"Excellent",2820,5,3,1,0.511,673400,"CROZET"
2011,0,"Excellent",4247,4,5,1,0.503,1031200,"CROZET"
2013,0,"Excellent",2516,4,3,1,0.078,415300,"CROZET"
2014,0,"Average",1953,3,3,1,0.129,512600,"CROZET"
2015,0,"Excellent",3056,4,4,1,0.19,626500,"CROZET"
2016,0,"Average",3753,4,3,1,0.194,638900,"CROZET"
2006,0,"Good",2136,4,3,1,0.067,341100,"CROZET"
2008,0,"Good",2810,4,2,1,0.208,592500,"CROZET"
2008,0,"Good",4404,5,4,1,0.464,1222000,"CROZET"
2006,0,"Average",1440,2,2,1,0.045,246700,"CROZET"
2013,0,"Excellent",3373,4,5,1,0.348,893500,"CROZET"
2010,0,"Excellent",3482,4,4,1,0.469,646600,"CROZET"
2010,0,"Excellent",3241,4,3,1,0.467,666300,"CROZET"
2012,0,"Excellent",3228,5,4,1,0.461,825800,"CROZET"
2011,0,"Average",3509,5,4,1,0.461,773600,"CROZET"
2012,0,"Average",2402,4,3,1,0.071,396900,"CROZET"
2013,0,"Average",2366,4,2,1,0.113,508500,"CROZET"
2016,0,"Average",2768,4,2,1,0.1509,529700,"CROZET"
2015,0,"Excellent",1644,4,3,1,0.1009,317700,"CROZET"
1930,0,"Good",2313,3,2,0,1.04,186400,"CROZET"
2004,0,"Good",2985,4,4,1,5.46,556900,"CROZET"
1987,0,"Good",2548,4,3,1,5.779,414500,"CHARLOTTESVILLE"
1976,0,"Average",1322,3,2,0,2.019,252000,"CHARLOTTESVILLE"
1956,0,"Good",2362,4,2,0,2.06,380900,"CHARLOTTESVILLE"
2005,0,"Good",2292,5,3,1,0.31,539700,"CHARLOTTESVILLE"
2001,0,"Good",2578,3,2,1,0.327,610100,"CHARLOTTESVILLE"
2003,0,"Good",3590,5,4,0,0.452,578600,"CHARLOTTESVILLE"
2007,0,"Excellent",3450,4,5,0,0.485,697100,"CHARLOTTESVILLE"
2010,0,"Excellent",3024,4,2,1,0.461,575600,"CHARLOTTESVILLE"
2014,0,"Excellent",3429,5,4,1,0.78,764400,"CHARLOTTESVILLE"
2005,0,"Excellent",2958,4,3,2,0.464,609000,"CHARLOTTESVILLE"
2005,0,"Excellent",3512,4,4,0,0.64,661900,"CHARLOTTESVILLE"
2010,0,"Excellent",3062,4,3,0,0.487,685400,"CHARLOTTESVILLE"
2010,0,"Excellent",3504,4,3,1,0.5,654900,"CHARLOTTESVILLE"
2010,0,"Excellent",3558,5,3,1,0.487,668900,"CHARLOTTESVILLE"
2000,0,"Good",2518,4,5,1,7.326,587700,"CHARLOTTESVILLE"
1949,1976,"Average",1528,5,2,0,12.57,372800,"CHARLOTTESVILLE"
1970,0,"Good",1120,2,1,0,0.998,142200,"CHARLOTTESVILLE"
2012,0,"Excellent",2408,3,2,1,0.121,500600,"CROZET"
2013,0,"Excellent",2652,4,2,1,0.1521,495500,"CROZET"
1922,0,"Good",4389,5,2,2,13.85,1536400,"CROZET"
1936,0,"Average",1800,3,1,0,1.73,316100,"CROZET"
1976,0,"Average",1915,4,2,0,2,288100,"CHARLOTTESVILLE"
1965,0,"Average",1478,3,2,0,3.37,396900,"CROZET"
1961,0,"Average",2858,4,3,0,14.304,545800,"CROZET"
1998,0,"Good",1856,4,3,1,5.95,363500,"CHARLOTTESVILLE"
1885,0,"Fair",5267,8,2,0,4.4,758800,"CROZET"
1949,0,"Average",1004,2,1,0,0,173800,"CROZET"
1948,0,"Average",1200,2,1,0,0.62,134600,"CROZET"
1955,2005,"Good",1220,3,2,0,0,248700,"CROZET"
1989,0,"Good",1193,3,2,0,0,214500,"CROZET"
1905,1957,"Average",2256,3,2,0,0.978,297400,"CROZET"
1963,0,"Average",1718,3,2,0,0.449,241200,"CROZET"
1962,0,"Average",1020,3,1,0,0,186500,"CROZET"
2005,0,"Good",1632,3,2,1,0.141,222000,"CROZET"
1964,0,"Good",1856,3,3,0,0.459,306500,"CROZET"
1968,0,"Average",1488,3,2,0,0.74,259900,"CROZET"
1992,0,"Good",1344,3,2,0,0.426,222500,"CROZET"
1972,0,"Average",1326,3,1,1,0.514,233600,"CROZET"
1985,0,"Good",1418,3,1,1,0.374,230000,"CROZET"
1981,0,"Good",1680,3,2,0,5.043,378600,"CROZET"
1946,0,"Fair",576,1,0,0,0.315,71100,"CROZET"
1957,0,"Average",1094,2,1,0,1.75,171400,"CROZET"
1900,0,"Fair",1277,3,1,0,6.5,244200,"CROZET"
1951,0,"Average",910,2,1,0,1.31,171900,"CROZET"
1975,0,"Average",1907,3,2,0,3.002,315800,"CROZET"
1978,0,"Average",1470,4,3,0,0.98,324200,"CROZET"
1989,0,"Average",2144,4,2,1,1.02,368000,"CROZET"
1965,0,"Average",1053,3,1,1,5.565,334600,"CROZET"
1864,0,"Average",2548,3,2,0,0.766,180300,"CROZET"
1875,0,"Average",1450,2,1,0,0.663,152100,"CROZET"
1968,0,"Average",1061,3,2,0,0,247000,"CROZET"
1962,0,"Average",1080,3,1,0,0,180700,"CROZET"
1971,0,"Average",1363,3,1,1,0,195500,"CROZET"
1993,0,"Average",1176,3,2,0,0.271,181900,"CROZET"
1993,0,"Average",1176,3,2,0,0.286,153500,"CROZET"
2006,0,"Good",3936,5,3,1,0.212,499800,"CROZET"
2001,0,"Average",1932,4,3,1,0.174,372100,"CROZET"
2009,0,"Good",2021,3,2,1,0.154,313100,"CROZET"
2005,0,"Good",1754,3,2,1,0.043,259900,"CROZET"
2006,0,"Good",2400,4,2,1,0.273,402300,"CROZET"
2002,0,"Good",2158,4,2,1,0.257,372100,"CROZET"
2004,0,"Good",2197,4,3,1,0.257,402900,"CROZET"
2005,0,"Good",2910,4,2,1,0.252,423800,"CROZET"
2008,0,"Good",3331,4,3,1,0.223,581300,"CROZET"
2010,0,"Excellent",2902,4,2,1,0.23,536000,"CROZET"
2012,0,"Excellent",4106,5,5,2,0.536,1111300,"CROZET"
2013,0,"Average",2932,4,4,1,0.542,921900,"CROZET"
1999,0,"Good",1313,2,2,0,0.186,329700,"CHARLOTTESVILLE"
1999,0,"Good",1318,2,3,0,0.141,328300,"CHARLOTTESVILLE"
1997,0,"Average",1575,3,2,1,0.051,226100,"CHARLOTTESVILLE"
1995,0,"Average",2012,4,2,1,0.268,340500,"CHARLOTTESVILLE"
1994,0,"Average",2514,5,3,1,0.255,327800,"CHARLOTTESVILLE"
1993,0,"Average",2052,4,2,1,0.396,322700,"CHARLOTTESVILLE"
1994,0,"Average",1947,4,2,1,0.304,303600,"CHARLOTTESVILLE"
1996,0,"Average",1263,3,2,0,0.283,278900,"CHARLOTTESVILLE"
1995,0,"Good",2240,3,2,1,0.519,421300,"CHARLOTTESVILLE"
1996,0,"Good",2392,4,2,1,0.214,398300,"CHARLOTTESVILLE"
1996,0,"Good",2105,4,3,1,0.259,390600,"CHARLOTTESVILLE"
1995,0,"Good",2026,4,2,1,0.242,366600,"CHARLOTTESVILLE"
2000,0,"Good",2000,4,2,1,0.308,329700,"CHARLOTTESVILLE"
2000,0,"Good",1844,3,2,1,0.218,313300,"CHARLOTTESVILLE"
2002,0,"Good",1810,3,2,1,0.144,277900,"CHARLOTTESVILLE"
2003,0,"Good",1488,3,2,1,0.143,254200,"CHARLOTTESVILLE"
2002,0,"Good",3528,5,4,0,0.426,502200,"CHARLOTTESVILLE"
2002,0,"Good",2620,4,3,1,0.29,402000,"CHARLOTTESVILLE"
2003,0,"Good",2019,3,2,1,0.427,431200,"CHARLOTTESVILLE"
2002,0,"Good",2678,5,3,1,0.834,520300,"CHARLOTTESVILLE"
2006,0,"Excellent",2598,4,3,2,0.605,547900,"CHARLOTTESVILLE"
1979,0,"Good",1860,2,2,0,4.662,366600,"CHARLOTTESVILLE"
2000,0,"Good",2352,4,3,1,4.129,414500,"CHARLOTTESVILLE"
1995,0,"Good",2824,3,3,1,7.217,687100,"CHARLOTTESVILLE"
1997,0,"Good",2172,3,3,0,7.35,410600,"CHARLOTTESVILLE"
1983,0,"Good",2217,4,1,0,5,291400,"CHARLOTTESVILLE"
1913,1968,"Good",2858,5,2,0,65.14,864700,"SCOTTSVILLE"
1997,0,"Good",2220,3,2,1,2.013,284000,"SCOTTSVILLE"
1986,0,"Excellent",1622,3,2,0,2.191,259600,"SCOTTSVILLE"
1732,2002,"Good",1824,2,2,3,0,306200,"SCOTTSVILLE"
